administration_date;region_name;age_range;supplier;first_dose;second_dose;Total_doses
2020-12-27;Abruzzo;20-29;Pfizer/BioNTech;1;0;1
2020-12-27;Abruzzo;30-39;Pfizer/BioNTech;4;0;4
2020-12-27;Abruzzo;40-49;Pfizer/BioNTech;7;0;7
2020-12-27;Abruzzo;50-59;Pfizer/BioNTech;9;0;9
2020-12-27;Abruzzo;60-69;Pfizer/BioNTech;14;0;14
2020-12-27;Abruzzo;70-79;Pfizer/BioNTech;1;0;1
2020-12-27;Abruzzo;80-89;Pfizer/BioNTech;1;0;1
2020-12-27;Basilicata;20-29;Pfizer/BioNTech;9;0;9
2020-12-27;Basilicata;30-39;Pfizer/BioNTech;28;0;28
2020-12-27;Basilicata;40-49;Pfizer/BioNTech;30;0;30
2020-12-27;Basilicata;50-59;Pfizer/BioNTech;26;0;26
2020-12-27;Basilicata;60-69;Pfizer/BioNTech;13;0;13
2020-12-27;Calabria;20-29;Pfizer/BioNTech;50;0;50
2020-12-27;Calabria;30-39;Pfizer/BioNTech;43;0;43
2020-12-27;Calabria;40-49;Pfizer/BioNTech;50;0;50
2020-12-27;Calabria;50-59;Pfizer/BioNTech;78;0;78
2020-12-27;Calabria;60-69;Pfizer/BioNTech;60;0;60
2020-12-27;Campania;20-29;Pfizer/BioNTech;60;0;60
2020-12-27;Campania;30-39;Pfizer/BioNTech;125;0;125
2020-12-27;Campania;40-49;Pfizer/BioNTech;167;0;167
2020-12-27;Campania;50-59;Pfizer/BioNTech;196;0;196
2020-12-27;Campania;60-69;Pfizer/BioNTech;167;0;167
2020-12-27;Campania;70-79;Pfizer/BioNTech;5;0;5
2020-12-27;Emilia-Romagna;20-29;Pfizer/BioNTech;139;0;139
2020-12-27;Emilia-Romagna;30-39;Pfizer/BioNTech;141;0;141
2020-12-27;Emilia-Romagna;40-49;Pfizer/BioNTech;227;0;227
2020-12-27;Emilia-Romagna;50-59;Pfizer/BioNTech;287;0;287
2020-12-27;Emilia-Romagna;60-69;Pfizer/BioNTech;150;0;150
2020-12-27;Emilia-Romagna;70-79;Pfizer/BioNTech;13;0;13
2020-12-27;Emilia-Romagna;80-89;Pfizer/BioNTech;8;0;8
2020-12-27;Emilia-Romagna;90+;Pfizer/BioNTech;5;0;5
2020-12-27;Friuli-Venezia Giulia;20-29;Pfizer/BioNTech;5;0;5
2020-12-27;Friuli-Venezia Giulia;30-39;Pfizer/BioNTech;16;0;16
2020-12-27;Friuli-Venezia Giulia;40-49;Pfizer/BioNTech;50;0;50
2020-12-27;Friuli-Venezia Giulia;50-59;Pfizer/BioNTech;102;0;102
2020-12-27;Friuli-Venezia Giulia;60-69;Pfizer/BioNTech;84;0;84
2020-12-27;Friuli-Venezia Giulia;70-79;Pfizer/BioNTech;5;0;5
2020-12-27;Lazio;20-29;Pfizer/BioNTech;64;0;64
2020-12-27;Lazio;30-39;Pfizer/BioNTech;78;0;78
2020-12-27;Lazio;40-49;Pfizer/BioNTech;51;0;51
2020-12-27;Lazio;50-59;Pfizer/BioNTech;56;0;56
2020-12-27;Lazio;60-69;Pfizer/BioNTech;24;0;24
2020-12-27;Liguria;20-29;Pfizer/BioNTech;9;0;9
2020-12-27;Liguria;30-39;Pfizer/BioNTech;24;0;24
2020-12-27;Liguria;40-49;Pfizer/BioNTech;20;0;20
2020-12-27;Liguria;50-59;Pfizer/BioNTech;35;0;35
2020-12-27;Liguria;60-69;Pfizer/BioNTech;17;0;17
2020-12-27;Liguria;70-79;Pfizer/BioNTech;5;0;5
2020-12-27;Liguria;80-89;Pfizer/BioNTech;12;0;12
2020-12-27;Liguria;90+;Pfizer/BioNTech;13;0;13
2020-12-27;Lombardia;20-29;Pfizer/BioNTech;42;0;42
2020-12-27;Lombardia;30-39;Pfizer/BioNTech;64;0;64
2020-12-27;Lombardia;40-49;Pfizer/BioNTech;142;0;142
